system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
our+AF8-system,50,267,262144,147.629333,99.167043
our+AF8-system,50,268,262144,104.937333,101.848052
our+AF8-system,50,269,262144,95.237333,90.744084
our+AF8-system,50,270,262144,173.028,102.185863
our+AF8-system,50,271,262144,75.232666,84.631837
our+AF8-system,50,272,262144,78.388333,111.67773
our+AF8-system,50,273,262144,114.603666,94.393185
our+AF8-system,50,274,262144,121.885,88.002026
our+AF8-system,50,275,262144,164.586666,114.447728
our+AF8-system,50,276,262144,158.025666,119.813612
our+AF8-system,50,277,262144,158.828,92.643994
our+AF8-system,50,278,262144,155.273333,102.833449
our+AF8-system,50,279,262144,160.412333,99.804303
our+AF8-system,50,280,262144,120.132,114.482742
our+AF8-system,50,281,262144,152.501,99.308534
our+AF8-system,50,282,262144,135.087333,98.78697
our+AF8-system,50,283,262144,153.855,121.608346
our+AF8-system,50,284,262144,205.006,95.293081
our+AF8-system,50,285,262144,84.196333,82.650167
our+AF8-system,50,286,262144,144.081,90.330878
our+AF8-system,50,287,262144,102.926333,100.42956
our+AF8-system,50,288,262144,76.898333,103.726362
our+AF8-system,50,289,262144,81.852,90.848359
our+AF8-system,50,290,262144,140.766666,87.308185
our+AF8-system,50,291,262144,121.399333,103.151095
our+AF8-system,50,292,262144,85.678666,99.506807
our+AF8-system,50,293,262144,106.367333,118.659036
our+AF8-system,50,294,262144,145.703666,114.697553
our+AF8-system,50,295,262144,163.089,103.693759
our+AF8-system,50,296,262144,106.339666,90.406396
our+AF8-system,50,297,262144,156.959333,128.388256
our+AF8-system,50,298,262144,137.355666,96.238624
our+AF8-system,50,299,262144,100.306,98.89519
our+AF8-system,50,300,262144,113.834333,100.873617
our+AF8-system,50,301,262144,162.332666,109.087853
our+AF8-system,50,302,262144,199.452666,93.712438
our+AF8-system,50,303,262144,164.304333,92.604671
our+AF8-system,50,304,262144,184.257333,80.616648
our+AF8-system,50,305,262144,160.014333,97.07819
