system,node+AF8-count,files+AF8-on+AF8-network,payload+AF8-size,upload+AF8-ms,download+AF8-total+AF8-ms
swarm,50,365,262144,42.262,111.785458
swarm,50,366,262144,47.300666,142.764349
swarm,50,367,262144,40.623333,143.891753
swarm,50,368,262144,46.505,76.330638
swarm,50,369,262144,145.686666,73.046339
swarm,50,370,262144,69.680333,254.074695
swarm,50,371,262144,107.557333,58.606625
swarm,50,372,262144,198.970666,102.586228
swarm,50,373,262144,99.593,72.868999
swarm,50,374,262144,50.273666,89.56374
swarm,50,375,262144,20.537333,173.299773
swarm,50,376,262144,325.789666,134.042509
swarm,50,377,262144,79.289666,276.708873
swarm,50,378,262144,60.914,84.371143
swarm,50,379,262144,69.864666,107.628895
swarm,50,380,262144,571.100333,104.479584
swarm,50,381,262144,74.115666,120.129626
swarm,50,382,262144,176.893,155.955644
swarm,50,383,262144,124.429333,82.291941
swarm,50,384,262144,96.914666,184.028501
swarm,50,385,262144,174.718333,89.483926
swarm,50,386,262144,27.200333,88.720837
swarm,50,387,262144,112.255666,98.003859
swarm,50,388,262144,996.127333,218.806599
swarm,50,389,262144,275.299666,1246.571909
swarm,50,390,262144,206.641333,94.20086
swarm,50,391,262144,30.114333,94.318606
swarm,50,392,262144,44.826,225.247619
swarm,50,393,262144,335.063666,384.464691
swarm,50,394,262144,32.237333,98.383635
swarm,50,395,262144,174.239,102.262234
swarm,50,396,262144,28.764333,150.106408
swarm,50,397,262144,332.380333,87.548806
swarm,50,398,262144,113.681333,80.925747
swarm,50,399,262144,380.378,273.107068
swarm,50,400,262144,182.924333,81.005268
swarm,50,401,262144,63.350333,101.733457
swarm,50,402,262144,27.583666,430.179351
swarm,50,403,262144,158.733666,97.092083
swarm,50,404,262144,93.415,67.557877
swarm,50,405,262144,115.990333,68.049916
swarm,50,406,262144,1298.155666,88.116338
swarm,50,407,262144,269.611333,74.389207
swarm,50,408,262144,125.387333,77.387821
swarm,50,409,262144,52.483666,73.384663
swarm,50,410,262144,95.802333,84.186102
swarm,50,411,262144,67.809,70.495065
swarm,50,412,262144,80.898333,129.698492
swarm,50,413,262144,355.703,262.832435
swarm,50,414,262144,224.315333,101.809249
swarm,50,415,262144,22.354666,79.680741
swarm,50,416,262144,180.349333,130.977892
swarm,50,417,262144,129.619333,87.535169
swarm,50,418,262144,119.205666,132.268437
swarm,50,419,262144,380.820333,111.224515
swarm,50,420,262144,558.201,158.81601
swarm,50,421,262144,245.810666,274.739816
swarm,50,422,262144,134.968666,104.500222
swarm,50,423,262144,86.094333,75.509637
swarm,50,424,262144,30.987,78.045321
swarm,50,425,262144,139.079,108.982694
swarm,50,426,262144,118.762333,122.948108
swarm,50,427,262144,163.953333,99.548888
swarm,50,428,262144,58.042,89.497038
swarm,50,429,262144,329.650666,123.908731
swarm,50,430,262144,23.784333,78.335065
swarm,50,431,262144,225.791666,139.66553
swarm,50,432,262144,57.413,78.810252
swarm,50,433,262144,120.053666,253.078083
swarm,50,434,262144,25.891,79.569153
swarm,50,435,262144,115.669333,200.660942
swarm,50,436,262144,131.230666,830.65146
swarm,50,437,262144,122.719666,70.687973
swarm,50,438,262144,124.264666,165.434147
swarm,50,439,262144,145.899,103.27153
swarm,50,440,262144,109.515,74.957522
swarm,50,441,262144,98.991,100.215976
swarm,50,442,262144,62.019333,122.948989
swarm,50,443,262144,228.999333,183.915081
swarm,50,444,262144,27.085,86.593246
swarm,50,445,262144,173.418666,193.315265
swarm,50,446,262144,380.634666,79.757981
swarm,50,447,262144,395.638333,133.652622
swarm,50,448,262144,70.826666,127.013677
swarm,50,449,262144,127.889666,85.155874
swarm,50,450,262144,210.756666,144.211005
swarm,50,451,262144,316.860666,76.734158
swarm,50,452,262144,376.712,114.974582
swarm,50,453,262144,544.677333,132.841203
swarm,50,454,262144,85.09,102.277521
swarm,50,455,262144,130.710333,92.300607
swarm,50,456,262144,42.842,90.695589
swarm,50,457,262144,78.075,77.529577
swarm,50,458,262144,154.946666,61.28859
swarm,50,459,262144,211.292333,81.719891
swarm,50,460,262144,396.402333,93.12213
swarm,50,461,262144,455.378333,273.102687
swarm,50,462,262144,78.446,94.62718
swarm,50,463,262144,297.948666,92.860216
swarm,50,464,262144,280.954666,151.809962
swarm,50,465,262144,150.636,84.582824
swarm,50,466,262144,1067.441,79.892791
swarm,50,467,262144,202.215,97.173359
swarm,50,468,262144,55.837666,93.504506
swarm,50,469,262144,120.747,1033.148109
swarm,50,470,262144,48.311666,149.243755
swarm,50,471,262144,228.818333,98.62715
swarm,50,472,262144,20.953666,107.627305
swarm,50,473,262144,146.181,240.324699
swarm,50,474,262144,99.069,119.895326
swarm,50,475,262144,112.765333,94.592217
swarm,50,476,262144,26.281333,85.061804
swarm,50,477,262144,189.085666,414.461411
swarm,50,478,262144,912.388,102.674692
swarm,50,479,262144,173.6,114.375707
swarm,50,480,262144,61.100666,120.462272
swarm,50,481,262144,670.698,181.151648
swarm,50,482,262144,109.490333,197.111779
swarm,50,483,262144,94.052,106.534743
swarm,50,484,262144,805.024666,190.39985
swarm,50,485,262144,78.469666,337.81423
swarm,50,486,262144,109.435666,84.143779
swarm,50,487,262144,20.470666,116.755026
swarm,50,488,262144,81.783,166.431154
swarm,50,489,262144,27.288,140.741215
swarm,50,490,262144,365.192,122.409181
swarm,50,491,262144,124.425666,109.17385
swarm,50,492,262144,80.546666,107.164341
swarm,50,493,262144,29.209333,136.338886
swarm,50,494,262144,65.855333,220.913785
swarm,50,495,262144,96.902666,201.046664
swarm,50,496,262144,42.716666,250.26948
swarm,50,497,262144,126.113666,219.623816
swarm,50,498,262144,470.743333,104.753659
swarm,50,499,262144,415.540666,367.143694
swarm,50,500,262144,20.294,112.048481
swarm,50,501,262144,560.757333,102.615451
swarm,50,502,262144,95.784333,116.529558
swarm,50,503,262144,44.906,137.090741
swarm,50,504,262144,103.044,107.286531
swarm,50,505,262144,107.374,154.486631
swarm,50,506,262144,83.784666,99.744029
swarm,50,507,262144,115.232333,99.245224
swarm,50,508,262144,338.655333,105.157298
swarm,50,509,262144,61.236333,102.069259
swarm,50,510,262144,58.386666,119.26893
swarm,50,511,262144,32.075333,115.077971
swarm,50,512,262144,296.568666,121.404976
,,,mean,142.76,136.76
,,,median,88.92,105.05
,,,max,1482.77,1249.73
,,,min,13.29,51.47
